name,year,team,position,specific_position,rating,is_fired,is_promoted,is_assistant_hc,is_interim_hc,is_interim_coordinator
Ken Wisenhunt,2010,Cardinals,Head Coach,Head Coach,10,,,,,
Bill Davis,2010,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Russ Grimm,2010,Cardinals,Coordinator,Offensive Run Game Coordinator,7.5,,,1,,
Mike Miller,2010,Cardinals,Coordinator,Offensive Pass Game Coordinator,7.5,,,,,
Christopher James Miller,2010,Cardinals,Position,Quarterbacks Coach,5,,,,,
John McNulty,2010,Cardinals,Position,Wide Receivers Coach,5,,,,,
Tommie Robinson,2010,Cardinals,Position,Running Backs Coach,5,,,,,
Freddie Kitchens,2010,Cardinals,Position,Tight Ends Coach,5,,,,,
Chad Grimm,2010,Cardinals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Ron Aiken,2010,Cardinals,Position,Defensive Line Coach,5,,,,,
Matt Raich,2010,Cardinals,Position,Linebackers Coach,5,,,,,
Ryan Slowik,2010,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Donnie Henderson,2010,Cardinals,Position,Defensive Backs Coach,5,,,,,
Ken Wisenhunt,2011,Cardinals,Head Coach,Head Coach,10,,,,,
Russ Grimm,2011,Cardinals,Coordinator,Offensive Run Game Coordinator,7.5,,,1,,
Mike Miller,2011,Cardinals,Coordinator,Offensive Pass Game Coordinator,7.5,,,,,
Ray Horton,2011,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Christopher James Miller,2011,Cardinals,Position,Quarterbacks Coach,5,,,,,
John McNulty,2011,Cardinals,Position,Wide Receivers Coach,5,,,,,
Tommie Robinson,2011,Cardinals,Position,Running Backs Coach,5,,,,,
Freddie Kitchens,2011,Cardinals,Position,Tight Ends Coach,5,,,,,
Chad Grimm,2011,Cardinals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Ron Aiken,2011,Cardinals,Position,Defensive Line Coach,5,,,,,
Matt Raich,2011,Cardinals,Position,Linebackers Coach,5,,,,,
Ryan Slowik,2011,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Louie Cioffi,2011,Cardinals,Position,Defensive Backs Coach,5,,,,,
Ken Wisenhunt,2012,Cardinals,Head Coach,Head Coach,10,,,,,
Mike Miller,2012,Cardinals,Coordinator,Offensive Coordinator,7.5,,,,,
Ray Horton,2012,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Russ Grimm,2012,Cardinals,Position,Offensive Run Game Coordinator,5,,,1,,
John McNulty,2012,Cardinals,Position,Quarterbacks Coach,5,,,,,
Frank Reich,2012,Cardinals,Position,Wide Receivers Coach,5,,,,,
Tommie Robinson,2012,Cardinals,Position,Running Backs Coach,5,,,,,
Freddie Kitchens,2012,Cardinals,Position,Tight Ends Coach,5,,,,,
Chad Grimm,2012,Cardinals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Ron Aiken,2012,Cardinals,Position,Defensive Line Coach,5,,,,,
Matt Raich,2012,Cardinals,Position,Linebackers Coach,5,,,,,
Ryan Slowik,2012,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Louie Cioffi,2012,Cardinals,Position,Defensive Backs Coach,5,,,,,
Bruce Arians,2013,Cardinals,Head Coach,Head Coach,10,,,,,
Tom Moore,2013,Cardinals,Coordinator,Assistant Head Coach,7.5,,,,,
Harold Goodwin,2013,Cardinals,Coordinator,Offensive Coordinator,7.5,,,,,
Todd Bowles,2013,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Amos Jones,2013,Cardinals,Coordinator,Special Teams Coordinator,7.5,,,,,
Freddie Kitchens,2013,Cardinals,Position,Quarterbacks Coach,5,,,,,
Darryl Drake,2013,Cardinals,Position,Wide Receivers Coach,5,,,,,
Lyvonia Albert Mitchell,2013,Cardinals,Position,Running Backs Coach,5,,,,,
Rick Christophel,2013,Cardinals,Position,Tight Ends Coach,5,,,,,
Brentston Buckner,2013,Cardinals,Position,Defensive Line Coach,5,,,,,
Mike Caldwell,2013,Cardinals,Position,Linebackers Coach,5,,,,,
James Bettcher,2013,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Ryan Slowik,2013,Cardinals,Position,Defensive Backs Coach,5,,,,,
Kevin Ross,2013,Cardinals,Position,Cornerbacks Coach,5,,,,,
Nick Rapone,2013,Cardinals,Position,Defensive Backs Coach,5,,,,,
Bruce Arians,2014,Cardinals,Head Coach,Head Coach,10,,,,,
Tom Moore,2014,Cardinals,Coordinator,Assistant Head Coach,7.5,,,,,
Harold Goodwin,2014,Cardinals,Coordinator,Offensive Coordinator,7.5,,,,,
Todd Bowles,2014,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Amos Jones,2014,Cardinals,Coordinator,Special Teams Coordinator,7.5,,,,,
Freddie Kitchens,2014,Cardinals,Position,Quarterbacks Coach,5,,,,,
Darryl Drake,2014,Cardinals,Position,Wide Receivers Coach,5,,,,,
Lyvonia Albert Mitchell,2014,Cardinals,Position,Running Backs Coach,5,,,,,
Rick Christophel,2014,Cardinals,Position,Tight Ends Coach,5,,,,,
Brentston Buckner,2014,Cardinals,Position,Defensive Line Coach,5,,,,,
Mike Caldwell,2014,Cardinals,Position,Linebackers Coach,5,,,,,
James Bettcher,2014,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Ryan Slowik,2014,Cardinals,Position,Defensive Backs Coach,5,,,,,
Kevin Ross,2014,Cardinals,Position,Cornerbacks Coach,5,,,,,
Nick Rapone,2014,Cardinals,Position,Defensive Backs Coach,5,,,,,
Mike Smith,2010,Falcons,Head Coach,Head Coach,10,,,,,
Mike Mularkey,2010,Falcons,Coordinator,Offensive Coordinator,7.5,,,,,
Brian VanGorder,2010,Falcons,Coordinator,Defensive Coordinator,7.5,,,,,
Keith Armstrong,2010,Falcons,Coordinator,Special Teams Coordinator,7.5,,,,,
Bill Musgrave,2010,Falcons,Position,Quarterbacks Coach,5,,,1,,
Terry Robiskie,2010,Falcons,Position,Wide Receivers Coach,5,,,,,
Paul T. Boudreau,2010,Falcons,Position,Offensive Line Coach,5,,,,,
Gerald Brown,2010,Falcons,Position,Running Backs Coach,5,,,,,
Chris Scelfo,2010,Falcons,Position,Tight Ends Coach,5,,,,,
Ray Hamilton,2010,Falcons,Position,Defensive Line Coach,5,,,,,
Glenn Pires,2010,Falcons,Position,Linebackers Coach,5,,,,,
Alvin Reynolds,2010,Falcons,Position,Defensive Backs Coach,5,,,,,
Tim Lewis,2010,Falcons,Position,Secondary Coach,5,,,,,
Mike Smith,2011,Falcons,Head Coach,Head Coach,10,,,,,
Mike Mularkey,2011,Falcons,Coordinator,Offensive Coordinator,7.5,,,,1,
Brian VanGorder,2011,Falcons,Coordinator,Defensive Coordinator,7.5,,,,,1
Keith Armstrong,2011,Falcons,Coordinator,Special Teams Coordinator,7.5,,,,,
Bob Bratkowski,2011,Falcons,Position,Quarterbacks Coach,5,,,,,
Terry Robiskie,2011,Falcons,Position,Wide Receivers Coach,5,,,,,
Paul T. Boudreau,2011,Falcons,Position,Offensive Line Coach,5,,,,,
Gerald Brown,2011,Falcons,Position,Running Backs Coach,5,,,,,
Chris Scelfo,2011,Falcons,Position,Tight Ends Coach,5,,,,,
Ray Hamilton,2011,Falcons,Position,Defensive Line Coach,5,,,,,
Glenn Pires,2011,Falcons,Position,Linebackers Coach,5,,,,,
Alvin Reynolds,2011,Falcons,Position,Defensive Backs Coach,5,,,,,
Tim Lewis,2011,Falcons,Position,Secondary Coach,5,,,,,
Mike Smith,2012,Falcons,Head Coach,Head Coach,10,,,,,
Dirk Koetter,2012,Falcons,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Nolan,2012,Falcons,Coordinator,Defensive Coordinator,7.5,,,,,
Keith Armstrong,2012,Falcons,Coordinator,Special Teams Coordinator,7.5,,,,,
Glenn Thomas,2012,Falcons,Position,Quarterbacks Coach,5,,,,,
Terry Robiskie,2012,Falcons,Position,Wide Receivers Coach,5,,,,,
Paul Dunn,2012,Falcons,Position,Offensive Line Coach,5,,,,,
Pat Hill,2012,Falcons,Position,Offensive Line Coach,5,,,,,
Gerald Brown,2012,Falcons,Position,Running Backs Coach,5,,,,,
Chris Scelfo,2012,Falcons,Position,Tight Ends Coach,5,,,,,
Ray Hamilton,2012,Falcons,Position,Defensive Line Coach,5,,,,,
Glenn Pires,2012,Falcons,Position,Linebackers Coach,5,,,,,
Joe Danna,2012,Falcons,Position,Defensive Backs Coach,5,,,,,
Tim Lewis,2012,Falcons,Position,Secondary Coach,5,,,,,
Mike Smith,2013,Falcons,Head Coach,Head Coach,10,,,,,
Dirk Koetter,2013,Falcons,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Nolan,2013,Falcons,Coordinator,Defensive Coordinator,7.5,,,,,
Keith Armstrong,2013,Falcons,Coordinator,Special Teams Coordinator,7.5,,,,,
Glenn Thomas,2013,Falcons,Position,Quarterbacks Coach,5,,,,,
Terry Robiskie,2013,Falcons,Position,Wide Receivers Coach,5,,,1,,
Paul Dunn,2013,Falcons,Position,Offensive Line Coach,5,,,,,
Pat Hill,2013,Falcons,Position,Offensive Line Coach,5,,,,,
Gerald Brown,2013,Falcons,Position,Running Backs Coach,5,,,,,
Chris Scelfo,2013,Falcons,Position,Tight Ends Coach,5,,,,,
Ray Hamilton,2013,Falcons,Position,Defensive Line Coach,5,,,,,
Glenn Pires,2013,Falcons,Position,Linebackers Coach,5,,,,,
Joe Danna,2013,Falcons,Position,Defensive Backs Coach,5,,,,,
Tim Lewis,2013,Falcons,Position,Secondary Coach,5,,,,,
Mike Smith,2014,Falcons,Head Coach,Head Coach,10,,,,,
Dirk Koetter,2014,Falcons,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Nolan,2014,Falcons,Coordinator,Defensive Coordinator,7.5,,,,,
Keith Armstrong,2014,Falcons,Coordinator,Special Teams Coordinator,7.5,,,,,
Glenn Thomas,2014,Falcons,Position,Quarterbacks Coach,5,,,,,
Terry Robiskie,2014,Falcons,Position,Wide Receivers Coach,5,,,,,
Mike Trice,2014,Falcons,Position,Offensive Line Coach,5,,,,,
Gerald Brown,2014,Falcons,Position,Running Backs Coach,5,,,,,
Wade Harman,2014,Falcons,Position,Tight Ends Coach,5,,,,,
Chris Scelfo,2014,Falcons,Position,Tight Ends Coach,5,,,,,
Bryan Cox,2014,Falcons,Position,Defensive Line Coach,5,,,,,
Glenn Pires,2014,Falcons,Position,Linebackers Coach,5,,,,,
Mark Collins,2014,Falcons,Position,Outside Linebackers Coach,5,,,,,
Joe Danna,2014,Falcons,Position,Defensive Backs Coach,5,,,,,
Tim Lewis,2014,Falcons,Position,Secondary Coach,5,,,,,
John Harbaugh,2010,Ravens,Head Coach,Head Coach,10,,,,,
Cam Cameron,2010,Ravens,Coordinator,Offensive Coordinator,7.5,,,,,
Greg Mttison,2010,Ravens,Coordinator,Defensive Coordinator,7.5,,,,,
Jerry Rosburg,2010,Ravens,Coordinator,Special Teams Coordinator,7.5,,,1,,
Jim Zorn,2010,Ravens,Position,Quarterbacks Coach,5,,,,,
Jim Hostler,2010,Ravens,Position,Wide Receivers Coach,5,,,,,
John Matsko,2010,Ravens,Position,Offensive Line Coach,5,,,,,
Wilbert Montgomery,2010,Ravens,Position,Running Backs Coach,5,,,,,
Wade Harman,2010,Ravens,Position,Tight Ends Coach,5,,,,,
Clarence Brooks,2010,Ravens,Position,Defensive Line Coach,5,,,,,
Dean Pees,2010,Ravens,Position,Linebackers Coach,5,,,,,
Ted Monachino,2010,Ravens,Position,Outside Linebackers Coach,5,,,,,
Chuck Pagano,2010,Ravens,Position,Secondary Coach,5,,,,,
Roy Anderson,2010,Ravens,Position,Secondary Coach,5,,,,,
John Harbaugh,2011,Ravens,Head Coach,Head Coach,10,,,,,
Cam Cameron,2011,Ravens,Coordinator,Offensive Coordinator,7.5,,,,,
Greg Mttison,2011,Ravens,Coordinator,Defensive Coordinator,7.5,,,,,
Jerry Rosburg,2011,Ravens,Coordinator,Special Teams Coordinator,7.5,,,1,,
Craig Ver Steeg,2011,Ravens,Position,Quarterbacks Coach,5,,,,,
Jim Hostler,2011,Ravens,Position,Wide Receivers Coach,5,,,,,
Any Moeller,2011,Ravens,Position,Offensive Line Coach,5,,,,,
Wilbert Montgomery,2011,Ravens,Position,Running Backs Coach,5,,,,,
Wade Harman,2011,Ravens,Position,Tight Ends Coach,5,,,,,
Jason Brooks,2011,Ravens,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Clarence Brooks,2011,Ravens,Position,Defensive Line Coach,5,,,,,
Dean Pees,2011,Ravens,Position,Linebackers Coach,5,,,,,
Ted Monachino,2011,Ravens,Position,Outside Linebackers Coach,5,,,,,
Roy Anderson,2011,Ravens,Position,Secondary Coach,5,,,,,
Teryl Austin,2011,Ravens,Position,Secondary Coach,5,,,,,
John Harbaugh,2012,Ravens,Head Coach,Head Coach,10,,,,,
Cam Cameron,2012,Ravens,Coordinator,Offensive Coordinator,7.5,1,,,,
Dean Pees,2012,Ravens,Coordinator,Defensive Coordinator,7.5,,,,,
Jerry Rosburg,2012,Ravens,Coordinator,Special Teams Coordinator,7.5,,,1,,
Jim Caldwell,2012,Ravens,Position,Quarterbacks Coach,5,,1,,,1
Jim Hostler,2012,Ravens,Position,Wide Receivers Coach,5,,,,,
Any Moeller,2012,Ravens,Position,Offensive Line Coach,5,,,,,
Wilbert Montgomery,2012,Ravens,Position,Running Backs Coach,5,,,,,
Wade Harman,2012,Ravens,Position,Tight Ends Coach,5,,,,,
Jason Brooks,2012,Ravens,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Jay Harbaugh,2012,Ravens,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Clarence Brooks,2012,Ravens,Position,Defensive Line Coach,5,,,,,
Ted Monachino,2012,Ravens,Position,Linebackers Coach,5,,,,,
Don Martindale,2012,Ravens,Position,Inside Linebacker Coach,5,,,,,
Teryl Austin,2012,Ravens,Position,Secondary Coach,5,,,,,
Matt Weiss,2012,Ravens,Quality Control,Defensive Quality Control Coach,2.5,,,,,
John Harbaugh,2013,Ravens,Head Coach,Head Coach,10,,,,,
Jim Caldwell,2013,Ravens,Coordinator,Offensive Coordinator,7.5,,,,,
Dean Pees,2013,Ravens,Coordinator,Defensive Coordinator,7.5,,,,,
Jerry Rosburg,2013,Ravens,Coordinator,Special Teams Coordinator,7.5,,,1,,
Juan Castillo,2013,Ravens,Position,Quarterbacks Coach,5,,,,,
Jim Hostler,2013,Ravens,Position,Wide Receivers Coach,5,,,,,
Any Moeller,2013,Ravens,Position,Offensive Line Coach,5,,,,,
Wilbert Montgomery,2013,Ravens,Position,Running Backs Coach,5,,,,,
Wade Harman,2013,Ravens,Position,Tight Ends Coach,5,,,,,
Clarence Brooks,2013,Ravens,Position,Defensive Line Coach,5,,,,,
Ted Monachino,2013,Ravens,Position,Linebackers Coach,5,,,,,
Don Martindale,2013,Ravens,Position,Inside Linebacker Coach,5,,,,,
Teryl Austin,2013,Ravens,Position,Secondary Coach,5,,,,,
Matt Weiss,2013,Ravens,Quality Control,Defensive Quality Control Coach,2.5,,,,,
John Harbaugh,2014,Ravens,Head Coach,Head Coach,10,,,,,
Gary Kupiak,2014,Ravens,Coordinator,Offensive Coordinator,7.5,,,,,
Dean Pees,2014,Ravens,Coordinator,Defensive Coordinator,7.5,,,,,
Jerry Rosburg,2014,Ravens,Coordinator,Special Teams Coordinator,7.5,,,1,,
Rick Dennison,2014,Ravens,Position,Quarterbacks Coach,5,,,,,
Bobby Ingram,2014,Ravens,Position,Wide Receivers Coach,5,,,,,
Juan Castillo,2014,Ravens,Position,Offensive Line Coach,5,,,,,
Thomas Hammock,2014,Ravens,Position,Running Backs Coach,5,,,,,
Brian Pariani,2014,Ravens,Position,Tight Ends Coach,5,,,,,
Clarence Brooks,2014,Ravens,Position,Defensive Line Coach,5,,,,,
Ted Monachino,2014,Ravens,Position,Linebackers Coach,5,,,,,
Matt Weiss,2014,Ravens,Position,Linebackers Coach,5,,,,,
Don Martindale,2014,Ravens,Position,Inside Linebacker Coach,5,,,,,
Steve Spagnuolo,2014,Ravens,Position,Secondary Coach,5,,,,,
Chan Gailey,2010,Bills,Head Coach,Head Coach,10,,,,,
Curtis Modkins,2010,Bills,Coordinator,Offensive Coordinator,7.5,,,,,
George Edwards,2010,Bills,Coordinator,Defensive Coordinator,7.5,,,,,
Bruce DeHaven,2010,Bills,Coordinator,Special Teams Coordinator,7.5,,,,,
George Cortez,2010,Bills,Position,Quarterbacks Coach,5,,,,,
Stan Hixon,2010,Bills,Position,Wide Receivers Coach,5,,,,,
Joe D'Alessandris,2010,Bills,Position,Offensive Line Coach,5,,,,,
Bob Bicknell,2010,Bills,Position,Tight Ends Coach,5,,,,,
Kevin Patullo,2010,Bills,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Gliff Smith,2010,Bills,Position,Defensive Line Coach,5,,,,,
Bob Sanders,2010,Bills,Position,Outside Linebackers Coach,5,,,,,
DeMontie Cross,2010,Bills,Position,Inside Linebackers Coach,5,,,,,
George Catavolos,2010,Bills,Position,Defensive Backs Coach,5,,,,,
Adrian White,2010,Bills,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Chan Gailey,2011,Bills,Head Coach,Head Coach,10,,,,,
Curtis Modkins,2011,Bills,Coordinator,Offensive Coordinator,7.5,,,,,
George Edwards,2011,Bills,Coordinator,Defensive Coordinator,7.5,,,,,
Bruce DeHaven,2011,Bills,Coordinator,Special Teams Coordinator,7.5,,,,,
George Cortez,2011,Bills,Position,Quarterbacks Coach,5,,,,,
Stan Hixon,2011,Bills,Position,Wide Receivers Coach,5,,,,,
Joe D'Alessandris,2011,Bills,Position,Offensive Line Coach,5,,,,,
Bob Bicknell,2011,Bills,Position,Tight Ends Coach,5,,,,,
Kevin Patullo,2011,Bills,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Gliff Smith,2011,Bills,Position,Defensive Line Coach,5,,,,,
Dave Wannstedt,2011,Bills,Position,Linebackers Coach,5,,,1,,
Bob Sanders,2011,Bills,Position,Outside Linebackers Coach,5,,,,,
George Catavolos,2011,Bills,Position,Defensive Backs Coach,5,,,,,
Adrian White,2011,Bills,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Chan Gailey,2012,Bills,Head Coach,Head Coach,10,,,,,
Curtis Modkins,2012,Bills,Coordinator,Offensive Coordinator,7.5,,,,,
Dave Wannstedt,2012,Bills,Coordinator,Defensive Coordinator,7.5,,,,,
Bruce DeHaven,2012,Bills,Coordinator,Special Teams Coordinator,7.5,,,,,
David Lee,2012,Bills,Position,Quarterbacks Coach,5,,,,,
Bob Bicknell,2012,Bills,Position,Wide Receivers Coach,5,,,,,
Joe D'Alessandris,2012,Bills,Position,Offensive Line Coach,5,,,,,
Pete Metzelaars,2012,Bills,Position,Tight Ends Coach,5,,,,,
Kevin Patullo,2012,Bills,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Gliff Smith,2012,Bills,Position,Defensive Line Coach,5,,,,,
Bob Sanders,2012,Bills,Position,Linebackers Coach,5,,,,,
George Catavolos,2012,Bills,Position,Defensive Backs Coach,5,,,,,
Eric Thatcher,2012,Bills,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Doug Marrone,2013,Bills,Head Coach,Head Coach,10,,,,,
Nathaniel Hackett,2013,Bills,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Pettine,2013,Bills,Coordinator,Defensive Coordinator,7.5,,,,,
Danny Crossman,2013,Bills,Coordinator,Special Teams Coordinator,7.5,,,,,
Ike Hilliard,2013,Bills,Position,Wide Receivers Coach,5,,,,,
Pat Morris,2013,Bills,Position,Offensive Line Coach,5,,,,,
Tyrone Wheatley,2013,Bills,Position,Running Backs Coach,5,,,,,
Greg Atkins,2013,Bills,Position,Tight Ends Coach,5,,,,,
Jason Vrable,2013,Bills,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Kurt Anderson,2013,Bills,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Anthony Weaver,2013,Bills,Position,Defensive Line Coach,5,,,,,
Jim O'Neil,2013,Bills,Position,Linebackers Coach,5,,,,,
Chuck Driesbach,2013,Bills,Position,Linebackers Coach,5,,,,,
Donnie Henderson,2013,Bills,Position,Defensive Backs Coach,5,,,,,
Brian Fleury,2013,Bills,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Jason Rebrovich,2013,Bills,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Doug Marrone,2014,Bills,Head Coach,Head Coach,10,,,,,
Nathaniel Hackett,2014,Bills,Coordinator,Offensive Coordinator,7.5,,,,,
Jim Schwartz,2014,Bills,Coordinator,Defensive Coordinator,7.5,,,,,
Danny Crossman,2014,Bills,Coordinator,Special Teams Coordinator,7.5,,,,,
Todd Downing,2014,Bills,Position,Quarterbacks Coach,5,,,,,
Rob Moore,2014,Bills,Position,Wide Receivers Coach,5,,,,,
Pat Morris,2014,Bills,Position,Offensive Line Coach,5,,,,,
Tyrone Wheatley,2014,Bills,Position,Running Backs Coach,5,,,,,
Greg Atkins,2014,Bills,Position,Tight Ends Coach,5,,,,,
Jason Vrable,2014,Bills,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Kurt Anderson,2014,Bills,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Pepper Johnson,2014,Bills,Position,Defensive Line Coach,5,,,,,
Fred Pagac,2014,Bills,Position,Linebackers Coach,5,,,,,
Donnie Henderson,2014,Bills,Position,Defensive Backs Coach,5,,,,,
Thad Bogardus,2014,Bills,Quality Control,Defensive Quality Control Coach,2.5,,,,,
John Fox,2010,Panthers,Head Coach,Head Coach,10,,,,,
Jeff Davidson,2010,Panthers,Coordinator,Offensive Coordinator,7.5,,,,,
Ron Meeks,2010,Panthers,Coordinator,Defensive Coordinator,7.5,,,,,
Jeff Rodgers,2010,Panthers,Coordinator,Special Teams Coordinator,7.5,,,,,
Rip Scherer,2010,Panthers,Position,Quarterbacks Coach,5,,,,,
Tyke Tolbert,2010,Panthers,Position,Wide Receivers Coach,5,,,,,
Dave Magazu,2010,Panthers,Position,Offensive Line Coach,5,,,,,
Jim Skipper,2010,Panthers,Position,Running Backs Coach,5,,,1,,
Geep Chryst,2010,Panthers,Position,Tight Ends Coach,5,,,,,
Brian Baker,2010,Panthers,Position,Defensive Line Coach,5,,,,,
Richard Smith,2010,Panthers,Position,Linebackers Coach,5,,,,,
Mike Fillhamer,2010,Panthers,Position,Defensive Backs Coach,5,,,,,
Ron Milus,2010,Panthers,Position,Defensive Backs Coach,5,,,,,
Sam Mills II,2010,Panthers,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Ron Rivera,2011,Panthers,Head Coach,Head Coach,10,,,,,
Rob Chudzinski,2011,Panthers,Coordinator,Offensive Coordinator,7.5,,,,,
Sean McDermott,2011,Panthers,Coordinator,Defensive Coordinator,7.5,,,,,
Brian Murphy,2011,Panthers,Coordinator,Special Teams Coordinator,7.5,,,,,
Mike Shula,2011,Panthers,Position,Quarterbacks Coach,5,,,,,
Fred Graves,2011,Panthers,Position,Wide Receivers Coach,5,,,,,
John Matsko,2011,Panthers,Position,Offensive Line Coach,5,,,,,
John Settle,2011,Panthers,Position,Running Backs Coach,5,,,,,
Pete Hoener,2011,Panthers,Position,Tight Ends Coach,5,,,,,
Scott Turner,2011,Panthers,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Eric Washington,2011,Panthers,Position,Defensive Line Coach,5,,,,,
Warren Belin,2011,Panthers,Position,Linebackers Coach,5,,,,,
Sam Mills II,2011,Panthers,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Ron Rivera,2012,Panthers,Head Coach,Head Coach,10,,,,,
Rob Chudzinski,2012,Panthers,Coordinator,Offensive Coordinator,7.5,,,,,
Sean McDermott,2012,Panthers,Coordinator,Defensive Coordinator,7.5,,,,,
Brian Murphy,2012,Panthers,Coordinator,Special Teams Coordinator,7.5,,,,,
Steve Wilks,2012,Panthers,Coordinator,Passing Defense Coordinator,7.5,,,,,
Mike Shula,2012,Panthers,Position,Quarterbacks Coach,5,,,,,
Fred Graves,2012,Panthers,Position,Wide Receivers Coach,5,,,,,
John Matsko,2012,Panthers,Position,Offensive Line Coach,5,,,,,
John Settle,2012,Panthers,Position,Running Backs Coach,5,,,,,
Pete Hoener,2012,Panthers,Position,Tight Ends Coach,5,,,,,
Scott Turner,2012,Panthers,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Eric Washington,2012,Panthers,Position,Defensive Line Coach,5,,,,,
Warren Belin,2012,Panthers,Position,Linebackers Coach,5,,,,,
Sam Mills II,2012,Panthers,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Ron Rivera,2013,Panthers,Head Coach,Head Coach,10,,,,,
Mike Shula,2013,Panthers,Coordinator,Offensive Coordinator,7.5,,,,,
Sean McDermott,2013,Panthers,Coordinator,Defensive Coordinator,7.5,,,,,
Richard Rodgers,2013,Panthers,Coordinator,Special Teams Coordinator,7.5,,,,,
Steve Wilks,2013,Panthers,Coordinator,Passing Defense Coordinator,7.5,,,,,
Ken Dorsey,2013,Panthers,Position,Quarterbacks Coach,5,,,,,
Ricky Proehl,2013,Panthers,Position,Wide Receivers Coach,5,,,,,
John Matsko,2013,Panthers,Position,Offensive Line Coach,5,,,,,
Jim Skipper,2013,Panthers,Position,Running Backs Coach,5,,,,,
Pete Hoener,2013,Panthers,Position,Tight Ends Coach,5,,,,,
Eric Washington,2013,Panthers,Position,Defensive Line Coach,5,,,,,
Al Holcomb,2013,Panthers,Position,Linebackers Coach,5,,,,,
Ron Rivera,2014,Panthers,Head Coach,Head Coach,10,,,,,
Mike Shula,2014,Panthers,Coordinator,Offensive Coordinator,7.5,,,,,
Sean McDermott,2014,Panthers,Coordinator,Defensive Coordinator,7.5,,,,,
Richard Rodgers,2014,Panthers,Coordinator,Special Teams Coordinator,7.5,,,,,
Steve Wilks,2014,Panthers,Coordinator,Passing Defense Coordinator,7.5,,,,,
Ken Dorsey,2014,Panthers,Position,Quarterbacks Coach,5,,,,,
Ricky Proehl,2014,Panthers,Position,Wide Receivers Coach,5,,,,,
John Matsko,2014,Panthers,Position,Offensive Line Coach,5,,,,,
Jim Skipper,2014,Panthers,Position,Running Backs Coach,5,,,,,
Pete Hoener,2014,Panthers,Position,Tight Ends Coach,5,,,,,
Eric Washington,2014,Panthers,Position,Defensive Line Coach,5,,,,,
Al Holcomb,2014,Panthers,Position,Linebackers Coach,5,,,,,
Curtis Fuller,2014,Panthers,Position,Defensive Backs Coach,5,,,,,
Marvin Lewis,2010,Bengals,Head Coach,Head Coach,10,,,,,
Bob Bratkowski,2010,Bengals,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Zimmer,2010,Bengals,Coordinator,Defensive Coordinator,7.5,,,,,
Ken Zampese,2010,Bengals,Position,Quarterbacks Coach,5,,,,,
Mike Sheppard,2010,Bengals,Position,Wide Receivers Coach,5,,,,,
Paul Alexander,2010,Bengals,Position,Offensive Line Coach,5,,,1,,
Jim Anderson,2010,Bengals,Position,Running Backs Coach,5,,,,,
Jonathan Hayes,2010,Bengals,Position,Tight Ends Coach,5,,,,,
Kyle Caskey,2010,Bengals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Jay Hayes,2010,Bengals,Position,Defensive Line Coach,5,,,,,
Jeff FitzGerald,2010,Bengals,Position,Linebackers Coach,5,,,,,
Kevin Coyle,2010,Bengals,Position,Defensive Backs Coach,5,,,,,
Marvin Lewis,2011,Bengals,Head Coach,Head Coach,10,,,,,
Jay Gruden,2011,Bengals,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Zimmer,2011,Bengals,Coordinator,Defensive Coordinator,7.5,,,,,
